"Klucz","KluczOpakZewn","KodKreskowy","OpisOpakowania","StatusOpak","IdRodzOpak","NrWersji","IdSesji","NrZlecenia","DataBrakowania","OstatniePrzyj","OstatnieWyd","IdGrupyDokKl","RokDokumentu"
"21333","5138","000000021333","\N","10","23","4","3231","","2032-12-31 00:00:00","\N","\N","147","2012"
"22205","\N","000000022205","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21336","5129","000000021336","\N","10","23","4","3231","","2033-12-31 00:00:00","\N","\N","147","2013"
"22206","\N","000000022206","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21337","5127","000000021337","\N","10","23","4","3231","","2033-12-31 00:00:00","\N","\N","147","2013"
"22207","\N","000000022207","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21338","5124","000000021338","\N","10","23","4","3231","","2033-12-31 00:00:00","\N","\N","147","2013"
"22208","\N","000000022208","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21339","5134","000000021339","\N","10","23","4","3231","","2033-12-31 00:00:00","\N","\N","147","2013"
"22209","\N","000000022209","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"21340","5139","000000021340","\N","10","23","4","3231","","2033-12-31 00:00:00","\N","\N","147","2013"
